"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Hospital 30-Day Readmission Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack","Footnote - Hospital 30-Day Readmission Rates from Heart Attack","Hospital 30-Day Readmission Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure","Footnote - Hospital 30-Day Readmission Rates from Heart Failure","Hospital 30-Day Readmission Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia","Footnote - Hospital 30-Day Readmission Rates from Pneumonia"
"140116","CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL","4201 MEDICAL CENTER DRIVE","","","MCHENRY","IL","60050","MCHENRY","8153445000","13.3","No Different than U.S. National Rate","10.7","16.4","316","","11.5","No Different than U.S. National Rate","9.4","14.1","535","","11.8","No Different than U.S. National Rate","9.7","14.5","459","","21.6","No Different than U.S. National Rate","18.3","24.7","412","","27.9","Worse than U.S. National Rate","24.8","31.0","659","","20.8","No Different than U.S. National Rate","18.0","23.8","509",""
"140117","RESURRECTION MEDICAL CENTER","7435 W TALCOTT AVENUE","","","CHICAGO","IL","60631","COOK","7737748000","14.7","No Different than U.S. National Rate","12.9","16.7","648","","10.2","No Different than U.S. National Rate","8.8","11.7","1140","","9.9","Better than U.S. National Rate","8.2","11.9","626","","19.7","No Different than U.S. National Rate","17.4","22.3","629","","26.6","No Different than U.S. National Rate","24.2","28.8","1346","","20.1","No Different than U.S. National Rate","17.5","22.9","636",""
"140118","METROSOUTH MEDICAL CENTER","12935 S GREGORY","","","BLUE ISLAND","IL","60406","COOK","7085972000","14.2","No Different than U.S. National Rate","11.2","17.8","139","","8.8","Better than U.S. National Rate","7.0","11.0","569","","10.3","No Different than U.S. National Rate","7.9","13.4","262","","25.0","Worse than U.S. National Rate","20.7","29.5","137","","27.8","Worse than U.S. National Rate","25.2","30.5","795","","21.9","No Different than U.S. National Rate","18.3","25.5","271",""
"140119","RUSH UNIVERSITY MEDICAL CENTER","1653 WEST CONGRESS PARKWAY","","","CHICAGO","IL","60612","COOK","3129425000","14.5","No Different than U.S. National Rate","11.1","18.8","113","","6.8","Better than U.S. National Rate","5.2","8.9","464","","9.5","No Different than U.S. National Rate","7.2","12.4","246","","20.7","No Different than U.S. National Rate","17.0","24.7","154","","25.2","No Different than U.S. National Rate","22.6","27.9","692","","21.5","No Different than U.S. National Rate","18.1","24.9","291",""
"140120","PEKIN MEMORIAL HOSPITAL","600 SOUTH 13TH STREET","","","PEKIN","IL","61554","TAZEWELL","3093471151","15.4","No Different than U.S. National Rate","12.0","19.5","62","","13.7","No Different than U.S. National Rate","10.7","17.4","191","","13.8","No Different than U.S. National Rate","11.2","17.3","347","","20.7","No Different than U.S. National Rate","16.5","25.4","53","","27.2","No Different than U.S. National Rate","23.3","31.3","220","","18.6","No Different than U.S. National Rate","15.7","22.2","357",""
"140122","HINSDALE HOSPITAL","120 NORTH OAK ST","","","HINSDALE","IL","60521","DUPAGE","6308569000","12.3","Better than U.S. National Rate","9.9","15.4","173","","9.9","No Different than U.S. National Rate","8.1","11.9","459","","9.4","Better than U.S. National Rate","7.6","11.3","450","","19.2","No Different than U.S. National Rate","15.7","22.9","182","","23.5","No Different than U.S. National Rate","20.6","26.5","553","","20.1","No Different than U.S. National Rate","17.2","23.1","465",""
"140124","JOHN H STROGER JR HOSPITAL","1901 W HARRISON ST","","","CHICAGO","IL","60612","COOK","3128646000","15.5","No Different than U.S. National Rate","11.5","20.9","49","","9.8","No Different than U.S. National Rate","6.9","13.5","144","","10.9","No Different than U.S. National Rate","7.4","15.9","72","","21.7","No Different than U.S. National Rate","17.2","27.2","52","","25.9","No Different than U.S. National Rate","21.7","30.5","175","","19.5","No Different than U.S. National Rate","15.4","24.6","82",""
"140125","GATEWAY REGIONAL MEDICAL CENTER","2100 MADISON AVENUE","","","GRANITE CITY","IL","62040","MADISON","6187983175","17.2","No Different than U.S. National Rate","13.4","21.3","111","","10.8","No Different than U.S. National Rate","8.0","14.8","169","","14.1","No Different than U.S. National Rate","10.7","18.4","133","","19.0","No Different than U.S. National Rate","15.3","23.6","90","","24.3","No Different than U.S. National Rate","20.5","28.6","194","","19.9","No Different than U.S. National Rate","16.1","24.1","128",""
"140127","BROMENN HEALTHCARE","1304 FRANKLIN AVENUE","","","NORMAL","IL","61761","MCLEAN","3094541400","14.3","No Different than U.S. National Rate","11.2","17.9","186","","14.3","No Different than U.S. National Rate","11.5","17.5","327","","14.2","No Different than U.S. National Rate","11.3","17.7","320","","18.9","No Different than U.S. National Rate","15.4","22.7","192","","23.0","No Different than U.S. National Rate","19.9","26.6","401","","15.8","No Different than U.S. National Rate","12.9","19.3","321",""
"140130","LAKE FOREST HOSPITAL","660 N WESTMORELAND ROAD","","","LAKE FOREST","IL","60045","LAKE","8472345600","14.2","No Different than U.S. National Rate","11.0","18.2","85","","11.1","No Different than U.S. National Rate","8.8","14.1","272","","7.9","Better than U.S. National Rate","5.9","10.5","302","","18.8","No Different than U.S. National Rate","14.9","23.4","71","","25.7","No Different than U.S. National Rate","22.3","29.4","341","","19.0","No Different than U.S. National Rate","15.9","22.7","326",""
"140133","HOLY CROSS HOSPITAL","2701 W 68TH STREET","","","CHICAGO","IL","60629","COOK","7734718000","16.5","No Different than U.S. National Rate","13.0","20.6","137","","11.4","No Different than U.S. National Rate","9.2","14.1","375","","11.7","No Different than U.S. National Rate","9.0","14.9","202","","20.8","No Different than U.S. National Rate","17.0","25.2","93","","27.1","No Different than U.S. National Rate","23.9","30.6","454","","20.8","No Different than U.S. National Rate","17.4","24.7","203",""
"140135","DECATUR MEMORIAL HOSPITAL","2300 NORTH EDWARD STREET","","","DECATUR","IL","62526","MACON","2178778121","16.8","No Different than U.S. National Rate","13.7","20.3","314","","14.0","Worse than U.S. National Rate","11.7","16.6","568","","12.6","No Different than U.S. National Rate","10.7","14.9","673","","18.7","No Different than U.S. National Rate","15.8","22.2","329","","23.8","No Different than U.S. National Rate","21.3","26.8","737","","17.4","No Different than U.S. National Rate","15.2","20.0","713",""
"140137","GREENVILLE REGIONAL HOSPITAL","200 HEALTHCARE DR","","","GREENVILLE","IL","62246","BOND","6186641230","Not Available","Number of Cases Too Small","Not Available","Not Available","9","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","12.6","No Different than U.S. National Rate","9.4","16.7","56","","9.9","No Different than U.S. National Rate","7.0","13.5","115","","Not Available","Number of Cases Too Small","Not Available","Not Available","9","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.5","No Different than U.S. National Rate","20.2","29.4","67","","17.4","No Different than U.S. National Rate","13.8","21.6","123",""
"140143","ST MARGARETS HOSPITAL","600 E 1ST ST","","","SPRING VALLEY","IL","61362","BUREAU","8156641362","Not Available","Number of Cases Too Small","Not Available","Not Available","17","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.5","No Different than U.S. National Rate","8.7","14.8","199","","13.4","No Different than U.S. National Rate","10.8","16.7","258","","Not Available","Number of Cases Too Small","Not Available","Not Available","9","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","26.6","No Different than U.S. National Rate","22.5","30.9","225","","19.0","No Different than U.S. National Rate","15.7","22.8","255",""
"140145","ST JOSEPHS HOSPITAL","9515 HOLY CROSS LN","","","BREESE","IL","62230","CLINTON","6185264511","Not Available","Number of Cases Too Small","Not Available","Not Available","20","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","13.4","No Different than U.S. National Rate","10.1","17.7","111","","12.4","No Different than U.S. National Rate","9.1","16.5","125","","Not Available","Number of Cases Too Small","Not Available","Not Available","17","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.4","No Different than U.S. National Rate","20.5","29.2","130","","19.0","No Different than U.S. National Rate","15.4","23.4","134",""
"140147","RICHLAND MEMORIAL HOSPITAL","800 EAST LOCUST","","","OLNEY","IL","62450","RICHLAND","6183952131","16.1","No Different than U.S. National Rate","12.4","20.3","53","","13.1","No Different than U.S. National Rate","10.1","16.9","190","","10.4","No Different than U.S. National Rate","7.8","13.6","276","","Not Available","Number of Cases Too Small","Not Available","Not Available","22","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","26.5","No Different than U.S. National Rate","22.4","30.7","210","","19.9","No Different than U.S. National Rate","16.7","23.7","285",""
"140148","MEMORIAL MEDICAL CENTER","701 N FIRST ST","","","SPRINGFIELD","IL","62781","SANGAMON","2177883000","14.9","No Different than U.S. National Rate","12.8","17.3","726","","13.1","No Different than U.S. National Rate","11.2","15.3","900","","12.6","No Different than U.S. National Rate","10.9","14.5","988","","17.8","No Different than U.S. National Rate","15.5","20.3","739","","25.0","No Different than U.S. National Rate","22.8","27.5","1081","","17.6","No Different than U.S. National Rate","15.7","19.7","1037",""
"140150","UNIVERSITY OF ILLINOIS HOSPITAL","1740 WEST TAYLOR ST SUITE 1400","","","CHICAGO","IL","60612","COOK","3129963900","15.9","No Different than U.S. National Rate","11.9","21.1","58","","10.1","No Different than U.S. National Rate","7.3","13.7","182","","10.3","No Different than U.S. National Rate","7.4","13.7","159","","20.8","No Different than U.S. National Rate","17.0","25.4","72","","27.1","No Different than U.S. National Rate","23.3","31.2","268","","19.6","No Different than U.S. National Rate","16.2","23.4","195",""
"140151","SACRED HEART HOSPITAL","3240 W FRANKLIN BLVD","","","CHICAGO","IL","60624","COOK","7737223020","Not Available","Number of Cases Too Small","Not Available","Not Available","6","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","7.6","Better than U.S. National Rate","5.4","10.6","170","","Not Available","Number of Cases Too Small","Not Available","Not Available","15","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","4","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","27.1","No Different than U.S. National Rate","23.0","31.8","211","","Not Available","Number of Cases Too Small","Not Available","Not Available","14","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing"
"140155","PROVENA ST MARYS HOSPITAL","500 W COURT ST","","","KANKAKEE","IL","60901","KANKAKEE","8159372490","14.5","No Different than U.S. National Rate","11.2","18.5","60","","9.7","No Different than U.S. National Rate","7.3","12.7","200","","9.3","Better than U.S. National Rate","7.2","11.9","325","","19.0","No Different than U.S. National Rate","15.0","23.7","52","","28.7","No Different than U.S. National Rate","24.5","33.1","222","","20.4","No Different than U.S. National Rate","17.4","23.8","338",""
"140158","MERCY HOSPITAL AND MEDICAL CENTER","2525 S MICHIGAN AVE","","","CHICAGO","IL","60616","COOK","3125672000","14.1","No Different than U.S. National Rate","11.5","17.1","219","","9.0","Better than U.S. National Rate","7.2","11.3","551","","12.0","No Different than U.S. National Rate","9.4","15.1","274","","23.2","No Different than U.S. National Rate","19.5","27.0","217","","27.6","Worse than U.S. National Rate","24.8","30.5","726","","19.1","No Different than U.S. National Rate","16.0","22.5","292",""
"140160","FHN MEMORIAL HOSPITAL","1045 WEST STEPHENSON STREET","","","FREEPORT","IL","61032","STEPHENSON","8152354131","16.1","No Different than U.S. National Rate","12.3","20.3","104","","14.8","Worse than U.S. National Rate","11.8","18.4","274","","12.9","No Different than U.S. National Rate","10.3","15.8","348","","21.6","No Different than U.S. National Rate","17.5","26.4","92","","23.7","No Different than U.S. National Rate","20.2","27.6","303","","17.6","No Different than U.S. National Rate","14.6","20.9","347",""
"140161","SAINT JAMES HOSPITAL","2500 WEST REYNOLDS STREET","","","PONTIAC","IL","61764","LIVINGSTON","8158422828","Not Available","Number of Cases Too Small","Not Available","Not Available","19","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","12.7","No Different than U.S. National Rate","9.2","17.1","77","","11.9","No Different than U.S. National Rate","8.7","16.2","121","","Not Available","Number of Cases Too Small","Not Available","Not Available","9","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","22.8","No Different than U.S. National Rate","18.8","27.7","94","","15.7","No Different than U.S. National Rate","12.6","20.0","122",""
"140162","ST JOSEPH MEDICAL CENTER","2200 E WASHINGTON","","","BLOOMINGTON","IL","61701","MCLEAN","3096623311","17.5","No Different than U.S. National Rate","14.0","21.8","158","","15.4","Worse than U.S. National Rate","12.2","19.1","261","","12.7","No Different than U.S. National Rate","10.1","16.0","219","","19.7","No Different than U.S. National Rate","16.0","23.9","157","","24.1","No Different than U.S. National Rate","20.8","27.8","310","","19.3","No Different than U.S. National Rate","16.1","23.2","229",""
"140164","MEMORIAL HOSPITAL OF CARBONDALE","405 W JACKSON","","","CARBONDALE","IL","62902","JACKSON","6185490721","14.0","No Different than U.S. National Rate","11.4","17.2","339","","11.7","No Different than U.S. National Rate","9.1","14.7","284","","13.3","No Different than U.S. National Rate","10.4","16.8","252","","17.9","No Different than U.S. National Rate","15.1","21.1","412","","25.5","No Different than U.S. National Rate","22.3","28.8","372","","19.9","No Different than U.S. National Rate","16.8","23.1","294",""
"140166","ST MARYS HOSPITAL","1800 E LAKE SHORE DR","","","DECATUR","IL","62521","MACON","2174647000","16.1","No Different than U.S. National Rate","12.6","20.3","114","","11.0","No Different than U.S. National Rate","8.7","13.7","359","","12.0","No Different than U.S. National Rate","9.4","15.2","310","","19.7","No Different than U.S. National Rate","16.0","23.7","88","","25.1","No Different than U.S. National Rate","21.8","28.7","421","","18.0","No Different than U.S. National Rate","15.1","21.4","308",""
"140167","IROQUOIS MEMORIAL HOSPITAL","200 FAIRMAN STREET","","","WATSEKA","IL","60970","IROQUOIS","8154325201","15.4","No Different than U.S. National Rate","12.0","19.8","78","","11.9","No Different than U.S. National Rate","9.0","15.3","167","","11.5","No Different than U.S. National Rate","8.8","14.8","203","","21.4","No Different than U.S. National Rate","17.2","26.3","48","","24.1","No Different than U.S. National Rate","20.2","28.2","203","","17.6","No Different than U.S. National Rate","14.4","21.4","210",""
"140172","FRANCISCAN ST JAMES HEALTH","20201 S CRAWFORD AVENUE","","","OLYMPIA FIELDS","IL","60461","COOK","7087474000","16.1","No Different than U.S. National Rate","13.9","18.6","510","","7.4","Better than U.S. National Rate","6.1","8.9","937","","11.5","No Different than U.S. National Rate","9.8","13.5","683","","22.9","Worse than U.S. National Rate","20.1","25.7","502","","28.1","Worse than U.S. National Rate","25.9","30.4","1168","","22.5","Worse than U.S. National Rate","19.7","25.2","705",""
"140174","PROVENA MERCY MEDICAL CENTER","1325 N HIGHLAND AVENUE","","","AURORA","IL","60506","KANE","6308592222","16.3","No Different than U.S. National Rate","12.8","20.3","149","","11.7","No Different than U.S. National Rate","9.1","14.8","262","","10.4","No Different than U.S. National Rate","8.2","13.2","297","","22.0","No Different than U.S. National Rate","18.1","26.6","142","","24.5","No Different than U.S. National Rate","21.1","28.4","297","","19.1","No Different than U.S. National Rate","16.3","22.4","308",""
"140176","CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL","3701 DOTY ROAD","","","WOODSTOCK","IL","60098","MCHENRY","8157885823","14.5","No Different than U.S. National Rate","11.8","17.9","167","","11.6","No Different than U.S. National Rate","9.1","14.7","271","","12.1","No Different than U.S. National Rate","9.6","15.2","315","","20.3","No Different than U.S. National Rate","16.5","24.5","97","","24.9","No Different than U.S. National Rate","21.5","28.5","323","","23.9","Worse than U.S. National Rate","20.1","27.5","335",""
"140177","JACKSON PARK HOSPITAL","7531 S STONY ISLAND AVE","","","CHICAGO","IL","60649","COOK","7739477500","15.6","No Different than U.S. National Rate","11.6","20.2","26","","11.3","No Different than U.S. National Rate","8.3","15.0","148","","11.4","No Different than U.S. National Rate","8.2","15.8","71","","Not Available","Number of Cases Too Small","Not Available","Not Available","7","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","29.8","Worse than U.S. National Rate","25.6","34.2","177","","19.6","No Different than U.S. National Rate","15.8","24.2","66",""
"140179","LITTLE COMPANY OF MARY HOSPITAL","2800 W 95TH ST","","","EVERGREEN PARK","IL","60805","COOK","7084226200","12.1","Better than U.S. National Rate","9.3","15.4","159","","10.4","No Different than U.S. National Rate","8.6","12.5","712","","11.1","No Different than U.S. National Rate","9.1","13.3","495","","21.9","No Different than U.S. National Rate","17.9","26.1","129","","25.7","No Different than U.S. National Rate","23.2","28.5","850","","23.0","Worse than U.S. National Rate","19.8","26.0","485",""
"140180","ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS","2233 W DIVISION ST","","","CHICAGO","IL","60622","COOK","3126335896","13.9","No Different than U.S. National Rate","11.0","17.2","161","","7.8","Better than U.S. National Rate","5.8","10.2","352","","10.0","No Different than U.S. National Rate","7.6","13.2","220","","22.4","No Different than U.S. National Rate","18.6","26.6","160","","25.4","No Different than U.S. National Rate","22.3","28.9","433","","21.6","No Different than U.S. National Rate","18.1","25.2","214",""
"140181","SOUTH SHORE HOSPITAL","8012 SOUTH CRANDON AVENUE","","","CHICAGO","IL","60617","COOK","7737680810","17.4","No Different than U.S. National Rate","13.2","22.0","52","","8.7","Better than U.S. National Rate","6.6","11.5","211","","10.2","No Different than U.S. National Rate","7.5","13.6","121","","20.3","No Different than U.S. National Rate","16.3","24.8","26","","26.5","No Different than U.S. National Rate","23.0","30.3","270","","20.6","No Different than U.S. National Rate","16.9","24.7","128",""
"140182","ADVOCATE ILLINOIS MASONIC MEDICAL CENTER","836 WEST WELLINGTON AVENUE","","","CHICAGO","IL","60657","COOK","7739751600","15.7","No Different than U.S. National Rate","12.3","20.0","113","","8.5","Better than U.S. National Rate","6.4","11.2","268","","11.5","No Different than U.S. National Rate","8.9","14.8","246","","21.6","No Different than U.S. National Rate","17.9","25.8","151","","28.9","Worse than U.S. National Rate","25.2","32.5","379","","20.5","No Different than U.S. National Rate","17.4","24.1","279",""
"140184","HEARTLAND REGIONAL MEDICAL CENTER","3333 W DE YOUNG","","","MARION","IL","62959","WILLIAMSON","6189987000","14.9","No Different than U.S. National Rate","11.7","19.0","95","","10.9","No Different than U.S. National Rate","8.3","14.1","209","","13.4","No Different than U.S. National Rate","10.7","16.6","294","","21.6","No Different than U.S. National Rate","17.6","26.2","98","","27.7","No Different than U.S. National Rate","23.9","31.8","268","","20.5","No Different than U.S. National Rate","17.4","23.9","322",""
"140185","MEMORIAL HOSPITAL","4500 MEMORIAL DRIVE","","","BELLEVILLE","IL","62226","SAINT CLAIR","6182337750","14.6","No Different than U.S. National Rate","11.9","17.7","319","","11.2","No Different than U.S. National Rate","9.3","13.2","672","","13.4","No Different than U.S. National Rate","10.9","16.2","460","","19.7","No Different than U.S. National Rate","16.7","23.3","303","","25.2","No Different than U.S. National Rate","22.8","27.8","815","","19.4","No Different than U.S. National Rate","16.7","22.3","466",""
"140186","RIVERSIDE MEDICAL CENTER","350 N WALL ST","","","KANKAKEE","IL","60901","KANKAKEE","8159331671","16.2","No Different than U.S. National Rate","12.9","20.1","182","","10.6","No Different than U.S. National Rate","8.6","13.0","433","","10.7","No Different than U.S. National Rate","8.7","13.1","477","","20.9","No Different than U.S. National Rate","17.3","25.3","172","","25.2","No Different than U.S. National Rate","22.3","28.5","479","","17.5","No Different than U.S. National Rate","15.0","20.5","477",""
"140187","ST ELIZABETH HOSPITAL","211 S THIRD ST","","","BELLEVILLE","IL","62220","SAINT CLAIR","6182342120","15.8","No Different than U.S. National Rate","13.1","19.3","308","","12.6","No Different than U.S. National Rate","10.3","15.2","515","","12.8","No Different than U.S. National Rate","10.0","16.0","290","","18.9","No Different than U.S. National Rate","15.8","22.5","322","","25.0","No Different than U.S. National Rate","22.1","28.1","639","","19.7","No Different than U.S. National Rate","16.5","23.1","318",""
"140189","SARAH BUSH LINCOLN HEALTH CENTER","1000 HEALTH CENTER DRIVE P O BOX 372","","","MATTOON","IL","61938","COLES","2172582572","15.4","No Different than U.S. National Rate","12.6","18.8","134","","11.7","No Different than U.S. National Rate","9.4","14.3","398","","10.9","No Different than U.S. National Rate","8.9","13.3","454","","19.5","No Different than U.S. National Rate","15.9","23.5","92","","23.1","No Different than U.S. National Rate","20.1","26.3","466","","17.5","No Different than U.S. National Rate","15.0","20.7","448",""
"140191","INGALLS MEMORIAL HOSPITAL","ONE INGALLS DRIVE","","","HARVEY","IL","60426","COOK","7083332300","13.1","No Different than U.S. National Rate","10.7","15.8","311","","8.1","Better than U.S. National Rate","6.7","9.9","847","","9.3","Better than U.S. National Rate","7.2","11.8","397","","22.0","No Different than U.S. National Rate","18.9","25.5","321","","27.8","Worse than U.S. National Rate","25.4","30.3","1059","","19.0","No Different than U.S. National Rate","16.1","22.0","410",""
"140197","METHODIST HOSPITAL OF CHICAGO","5025 N PAULINA STREET","","","CHICAGO","IL","60640","COOK","7732719040","Not Available","Number of Cases Too Small","Not Available","Not Available","17","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.3","No Different than U.S. National Rate","8.2","15.0","63","","9.6","No Different than U.S. National Rate","7.1","12.8","135","","Not Available","Number of Cases Too Small","Not Available","Not Available","11","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.5","No Different than U.S. National Rate","20.4","28.9","68","","20.0","No Different than U.S. National Rate","16.4","23.8","140",""
"140200","ELMHURST MEMORIAL HOSPITAL","155 EAST BRUSH HILL ROAD","","","ELMHURST","IL","60126","DUPAGE","6308331400","13.7","No Different than U.S. National Rate","11.1","16.9","305","","11.1","No Different than U.S. National Rate","9.4","13.0","802","","8.6","Better than U.S. National Rate","6.9","10.5","605","","18.6","No Different than U.S. National Rate","15.6","22.3","284","","23.2","No Different than U.S. National Rate","21.0","25.7","971","","18.7","No Different than U.S. National Rate","16.3","21.4","609",""
"140202","ADVOCATE CONDELL MEDICAL CENTER","801 S MILWAUKEE AVE","","","LIBERTYVILLE","IL","60048","LAKE","8479905200","14.6","No Different than U.S. National Rate","12.0","17.7","278","","11.1","No Different than U.S. National Rate","9.5","13.2","700","","12.2","No Different than U.S. National Rate","10.2","14.4","611","","17.4","No Different than U.S. National Rate","14.5","20.8","264","","26.1","No Different than U.S. National Rate","23.6","28.7","848","","17.9","No Different than U.S. National Rate","15.5","20.5","636",""
"140206","NORWEGIAN-AMERICAN HOSPITAL","1044 N FRANCISCO AVE","","","CHICAGO","IL","60622","COOK","7732928200","16.3","No Different than U.S. National Rate","12.5","20.5","35","","9.5","No Different than U.S. National Rate","6.8","13.1","107","","12.5","No Different than U.S. National Rate","9.2","16.6","70","","Not Available","Number of Cases Too Small","Not Available","Not Available","21","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.1","No Different than U.S. National Rate","20.3","28.3","144","","18.7","No Different than U.S. National Rate","15.0","22.8","65",""
"140208","ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER","4440 W 95TH STREET","","","OAK LAWN","IL","60453","COOK","7086848000","13.9","No Different than U.S. National Rate","11.8","16.4","519","","9.8","Better than U.S. National Rate","8.5","11.4","1162","","9.6","Better than U.S. National Rate","8.1","11.3","760","","22.4","No Different than U.S. National Rate","19.7","25.2","601","","25.9","No Different than U.S. National Rate","23.9","28.0","1400","","20.6","No Different than U.S. National Rate","18.4","23.0","786",""
"140209","METHODIST MEDICAL CENTER OF ILLINOIS","221 N E GLEN OAK AVE","","","PEORIA","IL","61636","PEORIA","3096725522","14.9","No Different than U.S. National Rate","12.1","18.2","250","","11.7","No Different than U.S. National Rate","9.5","14.2","436","","10.7","No Different than U.S. National Rate","8.8","13.1","440","","19.3","No Different than U.S. National Rate","16.2","22.8","283","","25.3","No Different than U.S. National Rate","22.4","28.6","512","","16.5","No Different than U.S. National Rate","14.0","19.6","443",""
"140210","HARRISBURG MEDICAL CENTER","100 DOCTOR WARREN TUTTLE DR","","","HARRISBURG","IL","62946","SALINE","6182537671","16.1","No Different than U.S. National Rate","12.1","20.7","37","","11.7","No Different than U.S. National Rate","9.0","14.8","176","","12.0","No Different than U.S. National Rate","9.5","15.1","309","","19.6","No Different than U.S. National Rate","15.4","24.2","27","","26.4","No Different than U.S. National Rate","22.5","30.8","205","","19.7","No Different than U.S. National Rate","16.5","23.1","319",""
"140211","DELNOR COMMUNITY HOSPITAL","300 RANDALL RD","","","GENEVA","IL","60134","KANE","6302083000","14.6","No Different than U.S. National Rate","11.5","18.0","180","","11.2","No Different than U.S. National Rate","9.1","13.7","403","","10.6","No Different than U.S. National Rate","8.6","13.0","527","","16.7","No Different than U.S. National Rate","13.5","20.4","155","","23.5","No Different than U.S. National Rate","20.5","26.9","457","","20.3","No Different than U.S. National Rate","17.5","23.2","541",""
"140213","SILVER CROSS HOSPITAL  AND MEDICAL CENTERS","1900 SILVER CROSS BLVD","","","NEW LENOX","IL","60451","WILL","8157401100","16.0","No Different than U.S. National Rate","13.2","19.1","283","","10.1","No Different than U.S. National Rate","8.4","12.2","707","","11.3","No Different than U.S. National Rate","9.5","13.4","692","","20.2","No Different than U.S. National Rate","17.2","23.7","261","","27.7","Worse than U.S. National Rate","25.0","30.4","865","","22.6","Worse than U.S. National Rate","20.0","25.2","735",""
"140217","PROVENA - SAINT JOSEPH HOSPITAL","77 N AIRLITE STREET","","","ELGIN","IL","60123","KANE","8476953200","14.0","No Different than U.S. National Rate","11.1","17.6","150","","12.1","No Different than U.S. National Rate","9.8","14.9","299","","10.1","No Different than U.S. National Rate","8.0","12.6","327","","20.9","No Different than U.S. National Rate","17.2","25.0","154","","23.9","No Different than U.S. National Rate","20.9","27.2","376","","18.7","No Different than U.S. National Rate","15.8","21.9","344",""
"140223","ADVOCATE LUTHERAN GENERAL HOSPITAL","1775 DEMPSTER ST","","","PARK RIDGE","IL","60068","COOK","8477232210","14.9","No Different than U.S. National Rate","12.3","17.9","375","","13.3","No Different than U.S. National Rate","11.5","15.1","925","","11.9","No Different than U.S. National Rate","10.2","13.8","800","","20.8","No Different than U.S. National Rate","17.7","24.4","369","","27.1","No Different than U.S. National Rate","24.6","29.6","1104","","20.2","No Different than U.S. National Rate","17.8","22.7","801",""
